feature,importance
delta_tok_iat_mean,271.4
delta_tok_iat_ac_lag1,266.8
win_idx,261.2
delta_tok_iat_cv,208.2
delta_tok_iat_p50,208.0
delta_tok_iat_std,195.8
delta_tok_rate,177.0
flow_position_norm,141.6
flow_elapsed_s,75.0
token_count,67.2
tok_iat_min,58.2
byte_ratio_bwd_fwd,50.2
tok_iat_max,41.0
tok_iat_p10,37.4
tok_iat_ac_lag2,36.4
tok_iat_skew,35.0
tok_iat_kurt,33.6
tok_iat_entropy,33.4
tok_iat_p75_p25_ratio,33.0
pktlen_p50,32.8
tok_iat_p25,32.0
tok_iat_cv,30.8
tok_iat_p95_p50_ratio,30.0
bwd_pktlen_mean,29.8
tok_iat_p95,29.4
tok_iat_mean,28.6
tok_iat_ac_lag3,28.0
tok_iat_p75,27.2
tok_iat_iqr,27.2
tok_iat_p90,25.4
tok_iat_p50,25.4
iat_p75_p25_ratio,25.4
tok_iat_std,24.2
pkt_ratio_bwd_fwd,23.4
pktlen_p95_p50_ratio,22.0
tok_iat_ac_lag1,21.8
iat_p25,21.4
iat_p10,20.8
pktlen_p75,20.4
fwd_count,20.4
pktlen_p90,20.2
tok_iat_norm_entropy,20.2
bwd_iat_ac_lag2,20.2
pktlen_p95,20.2
iat_min,20.0
bytes_per_token,20.0
iat_tok_pkt_ratio,19.8
iat_p90,19.2
total_bytes,18.2
bwd_pktlen_skew,17.2
pktlen_p75_p25_ratio,16.6
pktlen_mean,16.4
iat_p50,16.0
iat_p95_p50_ratio,15.8
byte_growth_slope,15.2
bwd_iat_min,14.6
bwd_iat_ac_lag3,14.4
pktlen_min,14.4
fwd_bytes,14.4
iat_iqr,14.0
pktlen_std,13.8
iat_ac_lag3,13.2
bwd_iat_ac_lag1,13.2
pktlen_p25,13.2
iat_p75,12.8
iat_ac_lag2,12.6
bwd_pktlen_kurt,12.6
tok_rate,12.6
bwd_pktlen_min,12.4
iat_norm_entropy,12.2
iat_ac_lag1,12.0
iat_max,11.8
pkt_count,11.8
iat_entropy,11.2
fwd_bwd_pkt_ratio,11.2
pktlen_kurt,11.0
pktlen_entropy,10.6
iat_std,10.6
iat_kurt,10.4
bwd_bytes,10.2
iat_mean,10.2
bwd_count,10.0
bwd_iat_kurt,9.6
byte_growth_residual_std,9.2
pktlen_skew,9.2
iat_skew,9.0
pktlen_norm_entropy,9.0
pktlen_max,9.0
iat_p95,8.6
pktlen_p10,8.0
bwd_pktlen_std,8.0
bwd_iat_max,8.0
bwd_iat_std,7.8
byte_growth_r2,7.4
pktlen_iqr,7.4
bwd_iat_skew,7.2
bwd_iat_mean,6.2
fwd_pktlen_min,6.0
fwd_pktlen_mean,6.0
bwd_pktlen_max,4.6
pkt_frac_burst_pkts,3.0
tok_frac_burst_pkts,2.8
bwd_frac_burst_pkts,2.8
bwd_throughput_bps,2.6
pkt_burst_count,1.8
fwd_pktlen_max,1.6
throughput_bps,1.0
tok_burst_count,0.4
bwd_burst_count,0.4
