feature_sanitized,feature,perm_importance_mean,perm_importance_std
delta_tok_iat_std,delta_tok_iat_std,0.13896867488585357,0.006837820966702329
delta_tok_rate,delta_tok_rate,0.12369026779315033,0.005567999953434094
delta_tok_iat_cv,delta_tok_iat_cv,0.061941347371368784,0.00425440369566055
token_count,token_count,0.044624457119517326,0.003312352093166012
tok_iat_p95,tok_iat_p95,0.04442202919872491,0.002538801052363858
delta_tok_iat_ac_lag1,delta_tok_iat_ac_lag1,0.006160140387553093,0.0018770683402337418
byte_growth_r2,byte_growth_r2,0.005619242898406012,0.0010227070701863596
delta_tok_iat_p50,delta_tok_iat_p50,0.005179752735959972,0.002527943985198444
pkt_count,pkt_count,0.004419516643401184,0.0007945085893582147
pktlen_p75_p25_ratio,pktlen_p75_p25_ratio,0.003415140259998493,0.0008383769405520195
bwd_bytes,bwd_bytes,0.0032181822739236247,0.0006822351893735253
iat_entropy,iat_entropy,0.0024758682163543047,0.0012637971600595803
iat_p90,iat_p90,0.0019956220953937743,0.0005710074077338542
tok_iat_kurt,tok_iat_kurt,0.001219353238665042,0.0006088860349826725
tok_rate,tok_rate,0.0010963611936436026,0.0007213971153824323
pktlen_p50,pktlen_p50,0.0009065667998400964,0.0010484640192573065
pktlen_p75,pktlen_p75,0.0008101707836157823,0.00045627829932608845
bwd_count,bwd_count,0.0007387343289776882,0.0006696364519630828
tok_iat_entropy,tok_iat_entropy,0.0005474000153905511,0.00041854354493364704
pktlen_p10,pktlen_p10,0.0005268264970697744,0.00020952715520684834
tok_iat_ac_lag1,tok_iat_ac_lag1,0.0004613724228638105,0.000308040610938079
pktlen_mean,pktlen_mean,0.00042596400156405637,0.00019191742138525888
pkt_ratio_bwd_fwd,pkt_ratio_bwd_fwd,0.0003967901261286988,0.0004786177721698806
tok_iat_p75_p25_ratio,tok_iat_p75_p25_ratio,0.00039212937553988696,0.0009599140155222617
tok_iat_iqr,tok_iat_iqr,0.0003853833583756794,0.00028478332101817253
pktlen_p90,pktlen_p90,0.00033998951822858945,0.0003769356900320457
iat_ac_lag2,iat_ac_lag2,0.00027661040146850443,0.00014499120256084244
