session_id,label_llm,label_model,label_workload,label_expected_tokens,meta_latency_s,meta_resp_words,meta_timestamp,total_packets,fwd_packets,bwd_packets,total_bytes,fwd_bytes,bwd_bytes,flow_duration_s,throughput_bps,first_response_latency_s,iat_mean,iat_std,iat_min,iat_max,iat_skew,pktlen_mean,pktlen_std,pktlen_min,pktlen_max,pktlen_skew,fwd_pktlen_mean,fwd_pktlen_std,bwd_pktlen_mean,bwd_pktlen_std,byte_ratio_bwd_fwd,burst_count,tls_detected
70a03b45,groq_qwen3_32b,qwen/qwen3-32b,short_factual,short,1.307,192,20260415T203458Z,1,1,0,55,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,55.0,55.0,0.0,55.0,0.0,0.0,0.0,0.0,1,1
ce3c4256,groq_qwen3_32b,qwen/qwen3-32b,short_factual,short,2.7012,518,20260415T203507Z,2,1,1,121,55,66,0.005183,23344.56,0.005183,0.005183,0.0,0.005183,0.005183,0.0,60.5,5.5,55.0,66.0,0.0,55.0,0.0,66.0,0.0,1.2,1,1
b48b5601,groq_qwen3_32b,qwen/qwen3-32b,short_factual,short,2.729,902,20260415T203517Z,2,1,1,121,55,66,0.005445,22222.21,0.005445,0.005445,0.0,0.005445,0.005445,0.0,60.5,5.5,55.0,66.0,0.0,55.0,0.0,66.0,0.0,1.2,1,1
9ede87cc,groq_qwen3_32b,qwen/qwen3-32b,short_factual,short,2.365,579,20260415T203521Z,1,1,0,79,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,79.0,79.0,0.0,79.0,0.0,0.0,0.0,0.0,1,1
e11116e6,groq_qwen3_32b,qwen/qwen3-32b,short_factual,short,2.7387,477,20260415T203526Z,9,3,6,937,162,775,0.031405,29836.04,0.000598,0.003926,0.006863,9e-06,0.019849,1.5397,104.11,72.39,54.0,259.0,1.2422,54.0,0.0,129.17,77.31,4.784,1,1
0a3159a1,groq_qwen3_32b,qwen/qwen3-32b,long_generation,long,6.1656,1402,20260415T203531Z,13,3,10,1673,542,1131,0.104113,16069.06,0.00344,0.008676,0.018783,0.0,0.062949,2.1444,128.69,78.31,54.0,276.0,0.7048,180.67,93.3,113.1,65.64,2.0867,1,1
4fdfe96f,groq_qwen3_32b,qwen/qwen3-32b,long_generation,long,8.9497,1274,20260415T203545Z,131,10,121,32661,3583,29078,6.71143,4866.47,0.030934,0.051626,0.235935,0.0,1.957667,6.5068,249.32,354.59,54.0,2064.0,2.9317,358.3,583.74,240.31,326.96,8.1155,9,1
9fa2a552,groq_qwen3_32b,qwen/qwen3-32b,long_generation,long,20.7831,1491,20260415T203556Z,26,2,24,11070,110,10960,16.483249,671.59,0.005405,0.65933,1.560373,0.0,6.429155,2.515,425.77,644.25,54.0,2761.0,2.0674,55.0,0.0,456.67,661.24,99.6364,6,1
c636ddcd,groq_qwen3_32b,qwen/qwen3-32b,long_generation,long,8.286,1286,20260415T203619Z,8,2,6,532,130,402,2.613008,203.6,0.032757,0.373287,0.740446,5.8e-05,2.1679,1.957,66.5,9.18,54.0,83.0,0.6362,65.0,0.0,67.0,10.55,3.0923,3,1
42902259,groq_qwen3_32b,qwen/qwen3-32b,long_generation,long,22.1144,899,20260415T203629Z,49,1,48,3973,113,3860,17.0576,232.92,0.005963,0.355367,1.08567,0.0,6.494577,4.2773,81.08,32.1,54.0,201.0,2.0445,113.0,0.0,80.42,32.1,34.1593,10,1
